keyword,category,video_id,title,published_date,duration_seconds,view_count,like_count,comment_count
Traditional selective breeding in plant breeding,Old,q02g_OKTByM,How seed breeding works,2016-09-29T22:39:48Z,117.0,162075,2986,0
Traditional selective breeding in plant breeding,Old,MOPRTV7Hn4I,Selective Plant Breeding,2019-10-01T13:43:36Z,96.0,15208,105,4
Traditional selective breeding in plant breeding,Old,GwjNhYGBEN4,Hybridization vs Inbreeding,2021-09-12T01:41:23Z,119.0,45569,433,20
Traditional selective breeding in plant breeding,Old,J7KbcNdtLNg,Traditional Plant Breeding vs. Genetic Modification (GM),2020-10-01T13:11:27Z,249.0,4576,51,0
Traditional selective breeding in plant breeding,Old,MXyfIzU9uEg,Traditional Plant Breeding Is Better Than GMO's,2016-05-20T10:00:01Z,112.0,211,2,0
Traditional selective breeding in plant breeding,Old,nYMoWtTXkwI,Plant Breeding Innovation Animation,2019-01-15T13:06:23Z,153.0,8444,115,4
Traditional selective breeding in plant breeding,Old,omRcV8ie2Mg,Cosmic Crisp® & Classic Breeding,2020-09-15T19:24:24Z,191.0,18708,120,22
Traditional selective breeding in plant breeding,Old,mokCTdgBcks,"What is Plant Breeding? - Selective Breeding, Hybridisation and Genetic Engineering",2021-10-13T22:16:15Z,1921.0,2728,54,10
Traditional selective breeding in plant breeding,Old,gM6U7g9Lu4E,Marker-assisted breeding,2019-10-01T13:47:09Z,175.0,15094,243,6
Traditional selective breeding in plant breeding,Old,djLjX1uomb8,Difference between Genetically modified plant and Traditional breeding.,2021-11-03T01:54:04Z,69.0,2293,12,0
Traditional selective breeding in plant breeding,Old,TMY0VIqWEEY,What is Selective Breeding and Genetic Engineering?,2022-04-28T12:00:56Z,214.0,917,13,7
Traditional selective breeding in plant breeding,Old,NmG4uBJVbg8,Traditional plant breeding methods on  zoysiagrass,2019-05-16T19:51:22Z,118.0,333,0,0
Traditional selective breeding in plant breeding,Old,MbfK32wFe9w,"Plant Breeding, Plant Genetics, and Genetic Engineering",2015-11-09T23:28:02Z,1683.0,43160,775,54
Traditional selective breeding in plant breeding,Old,xRIrLwgnE7E,Using information from natural populations to improve plant and animal breeding,2018-11-30T11:31:44Z,2486.0,416,5,1
Traditional selective breeding in plant breeding,Old,W9MI3mSzDhY,Liz Jones: Understanding the genetic architecture of quantitative traits in plant breeding ...,2018-10-24T19:13:26Z,2722.0,1304,22,2
Traditional selective breeding in plant breeding,Old,n2hDs1dfBBs,You need to know about plant breeding!,2023-03-11T22:10:22Z,74.0,29,7,0
Traditional selective breeding in plant breeding,Old,TStmsNuH68I,RU Ready 2 Garden Ep. 7 - Traditional Breeding of Vegetable Crops at Rutgers University,2020-06-16T13:36:37Z,5301.0,344,6,0
Traditional selective breeding in plant breeding,Old,qMEc7VomqTs,Genetic Engineering Isn't So Different From Classical Plant Breeding - Just Better,2012-03-21T18:15:40Z,134.0,648,7,0
Traditional selective breeding in plant breeding,Old,8QYnJQ7nC-k,What Is Plant Breeding?,2022-11-21T08:20:23Z,1977.0,751,12,0
Traditional selective breeding in plant breeding,Old,66ZNzwRi278,Plant breeding and genetics: Understanding the basics,2024-12-19T09:00:07Z,253.0,109,6,0
Traditional selective breeding in plant breeding,Old,X4Pxy3_Sdq0,GeneSprout Webinar: Plant Breeding and its History,2020-12-10T13:53:23Z,3523.0,276,8,0
Traditional selective breeding in plant breeding,Old,1WuwwYcDHMg,Plant breeding,2015-12-09T15:21:35Z,871.0,161073,2074,127
Traditional selective breeding in plant breeding,Old,4TcRWKXDliU,UF/IFAS Research Plant Breeding Programs,2013-05-13T22:34:27Z,668.0,5333,0,0
Traditional selective breeding in plant breeding,Old,MnRPuosC0Qs,conventional breeding final,2015-10-21T06:22:26Z,44.0,265,1,0
Traditional selective breeding in plant breeding,Old,HUNSU1qLctY,Panel Discussion: Future Challenges and Prospects in Plant Breeding ft. NAPB Leadership,2018-04-13T20:57:13Z,3577.0,572,6,0
Traditional selective breeding in plant breeding,Old,rf4SEy7eFmw,AquaGen - From traditional to modern selective breeding,2019-10-03T10:09:30Z,231.0,963,5,0
Traditional selective breeding in plant breeding,Old,GEocj6iFjwg,Traditional Plant Breeding,2021-01-14T12:01:39Z,1261.0,1303,34,20
Traditional selective breeding in plant breeding,Old,GDbUotLIRQM,How was marker assisted selection used to produce SCUBA rice?,2018-08-31T16:35:16Z,490.0,12419,224,7
Traditional selective breeding in plant breeding,Old,8XgNgVaOa3Q,Conventional 2   Steps in plant breeding,2020-11-21T13:28:16Z,261.0,644,6,0
Traditional selective breeding in plant breeding,Old,ZydercTqLzw,Ask the Expert - Molecular Plant Breeding,2021-09-10T09:47:07Z,675.0,2025,33,0
Traditional selective breeding in plant breeding,Old,Mi5Y0iRyEo0,Scientist Uses Advanced Techniques to Speed Tomato Breeding,2017-07-29T15:00:39Z,109.0,3521,37,3
Traditional selective breeding in plant breeding,Old,xzz4xyBIBG4,"Breeding for better horticultural varieties, quicker",2021-06-01T06:10:55Z,3092.0,396,7,0
Traditional selective breeding in plant breeding,Old,-0RmXsl4O_4,What is Modern Animal Breeding?,2022-06-15T11:25:33Z,96.0,6354,41,0
Traditional selective breeding in plant breeding,Old,aD6RXR75JeY,IFAJ Webinar Understanding Plant Breeding,2024-12-08T07:03:27Z,3998.0,30,1,0
Traditional selective breeding in plant breeding,Old,HYvbrTy1bqc,Genomic Solutions for Plant Breeding: Towards a Sustainable Agriculture,2020-09-16T20:47:04Z,3211.0,655,17,1
Traditional selective breeding in plant breeding,Old,sma2Yn7pzEU,"Classical/Traditional, Pure Line, Plant Breeding, Strategies for Enhancement in Food Production",2020-05-19T04:45:08Z,937.0,719,35,6
Traditional selective breeding in plant breeding,Old,fvzn-vqKkpI,OSU Plant Breeding Program,2012-07-06T15:26:33Z,518.0,774,8,0
Traditional selective breeding in plant breeding,Old,Xo5JJbOk9Zk,Explore Plant Breeding at UKZN,2019-01-30T07:37:48Z,306.0,900,17,0
